epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2547.76,0.78379,0.43976,0.90126,0.98654,0.9833,0.98422,0.88375,0.51541,0.30339,0.83118,0.000333295,0.000333295,0.0670038
2,4775.84,0.5999,0.35494,0.85152,0.98722,0.98582,0.98663,0.91505,0.41997,0.24945,0.80635,0.000664821,0.000664821,0.034002
3,6948.27,0.5342,0.33076,0.83553,0.98798,0.98636,0.98665,0.92598,0.36992,0.22703,0.79803,0.000989145,0.000989145,0.00099295
4,9173.76,0.48886,0.30696,0.82677,0.98859,0.98749,0.98702,0.93813,0.35743,0.21798,0.79295,0.000975773,0.000975773,0.000975773
5,11413.2,0.46369,0.29515,0.8198,0.98884,0.98794,0.98765,0.94446,0.33251,0.19901,0.78706,0.000957205,0.000957205,0.000957205
6,13646.4,0.44027,0.28673,0.81572,0.98863,0.98792,0.98727,0.94689,0.32418,0.20627,0.78479,0.000933683,0.000933683,0.000933683
7,15898.1,0.42226,0.27699,0.8126,0.98878,0.98813,0.98742,0.94953,0.31209,0.19328,0.78322,0.000905463,0.000905463,0.000905463
8,18064.4,0.4081,0.2694,0.80981,0.98879,0.98834,0.98739,0.95542,0.30034,0.18572,0.7822,0.000872857,0.000872857,0.000872857
9,20312.5,0.39988,0.26898,0.80794,0.98853,0.98811,0.9874,0.95528,0.29445,0.18036,0.78017,0.00083622,0.00083622,0.00083622
10,22627.2,0.3889,0.26078,0.8056,0.98906,0.98848,0.98732,0.96057,0.28035,0.17318,0.77844,0.000795954,0.000795954,0.000795954
11,24833.1,0.37834,0.25986,0.80423,0.98932,0.98875,0.98686,0.95707,0.28728,0.17393,0.77922,0.0007525,0.0007525,0.0007525
12,27013.5,0.37064,0.25477,0.80313,0.98919,0.98886,0.98736,0.95948,0.28072,0.16952,0.77692,0.000706335,0.000706335,0.000706335
13,29264.4,0.36346,0.38046,0.80131,0.98927,0.98878,0.98766,0.96335,0.27054,0.16694,0.77582,0.000657963,0.000657963,0.000657963
14,31443.7,0.35755,0.24863,0.80065,0.98947,0.98856,0.9876,0.96466,0.26551,0.1624,0.77589,0.000607916,0.000607916,0.000607916
15,33874.5,0.34856,0.39103,0.7993,0.98933,0.98887,0.98764,0.96422,0.26336,0.16208,0.77519,0.000556742,0.000556742,0.000556742
16,36162.8,0.34484,0.24526,0.79804,0.98923,0.989,0.98781,0.96562,0.26232,0.15994,0.77386,0.000505,0.000505,0.000505
17,38451.7,0.33709,0.24,0.79685,0.9896,0.98891,0.98767,0.96541,0.26064,0.15964,0.77433,0.000453258,0.000453258,0.000453258
18,40620.5,0.33076,0.23347,0.79633,0.98964,0.98897,0.98776,0.96757,0.25639,0.15589,0.77377,0.000402084,0.000402084,0.000402084
19,42824.9,0.32274,0.22937,0.79568,0.98945,0.98923,0.98776,0.96775,0.24993,0.15254,0.77279,0.000352037,0.000352037,0.000352037
20,44998.2,0.31632,0.22506,0.7947,0.9896,0.98919,0.98763,0.96879,0.24708,0.15119,0.77287,0.000303665,0.000303665,0.000303665
21,47088.4,0.27451,0.75986,0.78141,0.98954,0.98909,0.98795,0.96655,0.26006,0.15911,0.77389,0.0002575,0.0002575,0.0002575
22,49163.1,0.26777,2.22697,0.77923,0.98949,0.98915,0.98788,0.96722,0.25596,0.15651,0.77341,0.000214046,0.000214046,0.000214046
23,51236.7,0.25905,1.20034,0.77863,0.98964,0.98913,0.98772,0.96664,0.25575,0.1562,0.77346,0.00017378,0.00017378,0.00017378
24,53315.4,0.25085,1.49872,0.77713,0.98949,0.9894,0.98762,0.96738,0.25076,0.15242,0.77208,0.000137143,0.000137143,0.000137143
25,55401.1,0.24629,0.78898,0.7771,0.98949,0.98929,0.98778,0.96754,0.24808,0.14992,0.77212,0.000104537,0.000104537,0.000104537
26,57476.9,0.2401,0.73369,0.77675,0.98953,0.98933,0.98757,0.96655,0.24559,0.14959,0.7721,7.63174e-05,7.63174e-05,7.63174e-05
27,59554.7,0.23591,1.55166,0.77572,0.98963,0.98931,0.98752,0.96795,0.24369,0.1486,0.77166,5.2795e-05,5.2795e-05,5.2795e-05
28,61634.4,0.23261,0.57059,0.77508,0.98954,0.98944,0.98762,0.96831,0.24188,0.14718,0.77133,3.4227e-05,3.4227e-05,3.4227e-05
29,63709.5,0.22919,0.70393,0.77528,0.98958,0.98946,0.98752,0.96819,0.24097,0.14682,0.77119,2.08169e-05,2.08169e-05,2.08169e-05
30,65787.6,0.22771,0.87174,0.77516,0.98953,0.98942,0.98756,0.96814,0.24109,0.14587,0.77106,1.27117e-05,1.27117e-05,1.27117e-05
